date,00300_cd,00681_cd,00915_cd,00400_cd,00930_cd,80154_cd,00600_cd,00955_cd,00010_cd,00605_cd,00410_cd,00945_cd,00440_cd,00405_cd,00095_cd,00660_cd,00950_cd,71846_cd,00940_cd,00618_cd,00665_cd,70303_cd,00925_cd,00935_cd
1979-01-10,,,,,,,,,,,,,,,,,<,,,,,,,
1979-01-19,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-16,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-07,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-30,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-12,,,,,,,,,,,,,,,,,<,,,,,,,
1979-04-18,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-24,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-10,,,,,,,,,,,,,,,,,<,,,,<,,,
1979-05-21,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-12,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-20,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-19,,,,,,,,,,,,,,,,,,,,,,,,
1979-08-03,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-06,,,,,,,,,,,,,,,,,<,,,,,,,
1979-09-13,,,,,,,,,,,,,,,,,,,,,,,,
1979-10-18,,,,,,,,,,,,,,,,,,,,,,,,
1979-10-25,,,,,,,,,,,,,,,,,,,,,,,,
1979-11-08,,,,,,,,,,,,,,,,,,,,,,,,
1979-12-05,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-14,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-17,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-06,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-28,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-06,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-23,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-29,,,,,,,,,,,,,,,,,,,,,,,,
1980-05-26,,,,,,,,,,,,,,,,,,,,,,,,
1980-06-18,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-07,,,,,,,,,,,,,,,,,,,,,,,,
1980-08-06,,,,,,,,,,,,,,,,,,,,,,,,
1980-08-12,,,,,,,,,,,,,,,,,,,,,,,,
1980-08-27,,,,,,,,,,,,,,,,,,,,,,,,
1980-10-29,,,,,,,,,,,,,,,,,,,,,,,,
1980-11-24,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-30,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-26,,,,,,,,,,,,,,,,,,,,,,,,
1981-02-25,,,,,,,,,,,,,,,,,,,,,,,,
1981-03-30,,,,,,,,,,,,,,,,,,,,,,,,
1981-04-21,,,,,,,,,,,,,,,,,,,,,,,,
1981-05-14,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-18,,,,,,,,,,,,,,,,,,,,,,,,
1981-07-14,,,,,,,,,,,,,,,,,,,,,,,,
1981-08-12,,,,,,,,,,,,,,,,,,,,,,,,
1981-09-16,,,,,,,,,,,,<,,,,,,,,,<,,,
1981-10-28,,,,,,,,,,,,,,,,,<,,,,,,,
1981-12-15,,,,,,,,,,,,,,,,,<,,,,,,,
1982-01-20,,,,,,,,,,,,,,,,,<,,,,,,,
1982-02-23,,,,,,,,,,,,,,,,,<,,,,<,,,
1982-03-24,,,,,,,,,,,,,,,,,<,,,,,,,
1982-05-04,,,,,,,<,,,,,,,,,,<,,,,<,,,
1982-05-26,,,,,,,,,,,,,,,,,<,,,,<,,,
1982-06-29,,,,,,,<,,,,,,,,,,<,,,,<,,,
1982-07-22,,,,,,,<,,,,,,,,,,,,,,,,,
1982-08-24,,,,,,,<,,,<,,,,,,,<,,,,<,,,
1982-10-06,,,,,,,<,,,,,<,,,,<,,,,,<,,,
1982-12-14,,,,,,,,,,,,,,,,<,<,,,,,,,
1983-02-03,,,,,,,<,,,<,,,,,,,<,,,,,,,
1983-04-26,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1983-06-21,,,,,,,<,,,<,,,,,,<,,<,,,,,,
1983-08-23,,,,,,,<,,,<,,,,,,<,<,,,,,,,
1983-10-19,,,,,,,<,,,,,,,,,<,<,,,,<,,,
1984-02-22,,,,,,,<,,,,,,,,,<,<,,,,<,,,
1984-04-24,,,,,,,<,,,,,,,,,<,<,,,,<,,,
1984-05-17,,,,,,,<,,,<,,,,,,<,,<,,,<,,,
1984-06-12,,,,,,,,,,,,,,,,<,<,,,,<,,,
1984-08-01,,,,,,,,,,,,,,,,<,<,,,,<,,,
1984-11-06,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1985-01-09,,,,,,,<,,,,,,,,,,<,,,,,,,
1985-03-05,,,,,,,<,,,,,,,,,<,<,,,,<,,,
1985-04-22,,,,,,,,,,,,,,,,<,<,,,,<,,,
1985-06-10,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1985-08-01,,,,,,,<,,,,,,,,,<,<,,,,<,,,
1985-11-14,,,,,,,<,,,,,,,,,<,<,,,<,,,,
1986-01-28,,,,,,,<,,,,,,,,,,<,,,<,<,,,
1986-03-26,,,,,,,,,,,,,,,,,<,,,,<,,,
1986-05-28,,,,,,,<,,,<,,,,,,<,<,,,<,,,,
1986-07-22,,,,,,,<,,,<,,,,,,<,,,,<,,,,
1986-08-12,,,,,,,<,,,<,,,,,,<,<,,,<,,,,
